08:08:18.566 [main] INFO com.opsmx.AuditClientServiceApplication -- Starting Audit client service...

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2024-10-18T08:08:20.417Z  INFO 8 --- [oes-audit-client] [           main] c.opsmx.AuditClientServiceApplication    : Starting AuditClientServiceApplication v0.0.1-SNAPSHOT using Java 17.0.12 with PID 8 (/opsmx/workdir/audit-client-service-0.0.1-SNAPSHOT.jar started by opsmx in /opsmx/workdir)
2024-10-18T08:08:20.433Z  INFO 8 --- [oes-audit-client] [           main] c.opsmx.AuditClientServiceApplication    : The following 3 profiles are active: "default", "vault", "local"
2024-10-18T08:08:23.742Z  INFO 8 --- [oes-audit-client] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-10-18T08:08:23.890Z  INFO 8 --- [oes-audit-client] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 135 ms. Found 13 JPA repository interfaces.
2024-10-18T08:08:24.205Z  INFO 8 --- [oes-audit-client] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=2a3a6912-9ddc-3fbe-a97b-7b8948847ad6
2024-10-18T08:08:25.236Z  INFO 8 --- [oes-audit-client] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8098 (http)
2024-10-18T08:08:25.255Z  INFO 8 --- [oes-audit-client] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-10-18T08:08:25.255Z  INFO 8 --- [oes-audit-client] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-10-18T08:08:25.312Z  INFO 8 --- [oes-audit-client] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-10-18T08:08:25.314Z  INFO 8 --- [oes-audit-client] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4666 ms
2024-10-18T08:08:25.992Z  INFO 8 --- [oes-audit-client] [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-10-18T08:08:26.109Z  INFO 8 --- [oes-audit-client] [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.4.1.Final
2024-10-18T08:08:26.192Z  INFO 8 --- [oes-audit-client] [           main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2024-10-18T08:08:26.698Z  INFO 8 --- [oes-audit-client] [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-10-18T08:08:26.756Z  INFO 8 --- [oes-audit-client] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
